Time,NoBlobs,Evolution_time,Circulation
0.01,6224,0.286907938000013,8.050753397270682e-10
0.02,6230,0.2607590929999901,4.901834271819894e-09
0.03,6228,0.2723201539999991,1.5752350313036345e-08
0.04,6228,0.2718472679999877,2.8700473331255694e-08
0.05,6230,0.2725058469999908,4.434198319636096e-08
0.06,6233,0.26333403299997826,2.2187526926842338e-08
0.07,6226,0.264780911999992,2.1867151200893886e-08
0.08,6221,0.26479321200002914,3.0038998399817274e-08
0.09,6192,0.2677286009999875,2.528676177337985e-07
0.1,6153,0.2607937819999506,2.5709803241902307e-07
0.11,6101,0.26139213899995184,2.3836076090688607e-07
0.12,6013,0.2586698079999792,2.4519541086398533e-07
0.13,5908,0.24687573199997814,2.2380001563071517e-07
0.14,5767,0.24958546299995987,-7.050729941959766e-05
0.15,5612,0.24249196000005213,-7.049374243273121e-05
0.16,5476,0.2049378959999899,-7.050867507429892e-05
0.17,5334,0.20123459600000615,-7.051533892754591e-05
0.18,5224,0.19609222999997655,-7.052340486657371e-05
0.19,5114,0.19157286399996565,-7.053229858655641e-05
0.2,5037,0.16968066499998713,-7.053324024286489e-05
0.21,4973,0.17039426200000207,-7.05334438064753e-05
0.22,4928,0.16605749600000763,-7.054122764560411e-05
0.23,4877,0.16685804499996948,-7.05568417065372e-05
0.24,4838,0.1669688960000144,-7.056145568395955e-05
0.25,4791,0.16176193199999034,-7.055330567762308e-05
0.26,4748,0.16198666100001446,-7.056429537455333e-05
0.27,4695,0.16340727399995103,-7.054291388131073e-05
0.28,4665,0.15798313299995925,-7.054828181807249e-05
0.29,4665,0.15859427300000561,-7.051609937047676e-05
0.3,4657,0.1581965219999688,-7.050797858121349e-05
0.31,4663,0.158565555999985,-7.050118212875711e-05
0.32,4674,0.1586578529999656,-7.049398555170061e-05
0.33,4683,0.15866242300000977,-7.049358591182386e-05
0.34,4700,0.15903588200001195,-7.051166757836291e-05
0.35000000000000003,4695,0.1585498830000347,-7.048786469396329e-05
0.36,4698,0.1601121090000106,-7.04901863118057e-05
0.37,4708,0.15965454600001294,-7.047819611932793e-05
0.38,4712,0.15915275599996903,-7.04850862079387e-05
0.39,4730,0.1593172279999635,-7.049303966422116e-05
0.4,4754,0.15890134199997874,-7.050139666020527e-05
0.41000000000000003,4769,0.1642096489999858,-7.049973582651248e-05
0.42,4780,0.16397576200000685,-0.00012259462488961592
0.43,4797,0.16483480199997302,-0.00012259474446396634
0.44,4799,0.163660904999972,-0.00012258229986461533
0.45,4815,0.16337916300000188,-0.00012258603709147664
0.46,4837,0.16419857199997523,-8.960825763604241e-05
0.47000000000000003,4855,0.16386866499999542,-9.93426826870758e-05
0.48,4865,0.16345488199999636,-9.934477878026371e-05
0.49,4862,0.16823075800004972,-9.935448297426763e-05
0.5,4881,0.16306741200003216,-9.262402825549465e-05
0.51,4890,0.16796897700004365,-9.26264700371604e-05
0.52,4911,0.16779077099999995,-7.884246876455059e-05
0.53,4939,0.16801793500002304,-7.885701174581428e-05
0.54,4949,0.16775045999997928,-7.884414025705055e-05
0.55,4975,0.16761967599995842,-7.883966591504254e-05
0.56,4990,0.16811699500004806,-7.877794181476716e-05
0.5700000000000001,4989,0.16724630699997078,7.490649448405051e-05
0.58,5021,0.1673328169999877,7.488825775170405e-05
0.59,5050,0.1732805389999612,7.489452670528252e-05
0.6,5087,0.1726706229999877,7.48784791365642e-05
0.61,5116,0.1721857219999947,7.488935488753068e-05
0.62,5139,0.172290213999986,7.488830112223344e-05
0.63,5150,0.1948567579999576,7.489504433988436e-05
0.64,5167,0.19490721900001517,7.488257446808255e-05
0.65,5201,0.19463721400001077,7.488499250807301e-05
0.66,5230,0.19472847299999785,7.489200647747829e-05
0.67,5248,0.1945832659999951,7.488620927897927e-05
0.68,5288,0.19394665800001576,7.488646557674006e-05
0.6900000000000001,5313,0.1998835539999959,7.487915006898493e-05
0.7000000000000001,5347,0.19953142600002138,7.487403273198634e-05
0.71,5376,0.19890067599999384,0.000262486001148754
0.72,5400,0.19910231500000464,0.00026248107092230466
0.73,5423,0.2046347590000437,0.0002624807007716168
0.74,5441,0.2042557469999906,0.00026090287777502663
0.75,5475,0.20434093699998357,0.00026090216719043546
0.76,5497,0.20368064000001596,0.0002609049314984402
0.77,5525,0.2038619300000164,0.0002608911015584692
0.78,5542,0.20944341299997404,0.0002608872004311591
0.79,5581,0.20972140100002434,0.0002608816231859934
0.8,5603,0.20972054599997136,0.00026382383906015106
0.81,5630,0.20933100600001353,0.00032185042647647766
0.8200000000000001,5661,0.20865853999998762,0.0003218523684780372
0.8300000000000001,5682,0.21379960100000517,0.0003218513830182679
0.84,5704,0.21375974399995812,0.00032185262194264763
0.85,5732,0.2136413169999969,0.0003218537364540197
0.86,5758,0.21366811900003313,0.00027057123782503467
0.87,5796,0.21323309100000643,0.0008880821551852935
0.88,5831,0.24616568200002575,0.0008880889824489924
0.89,5860,0.24523354899997685,0.0008880840793357714
0.9,5882,0.24517822199999273,0.0008880976774142679
0.91,5908,0.2446985770000083,0.0008880932860006463
0.92,5927,0.25128091600004154,0.0008880697684258698
0.93,5946,0.25132205599999224,0.0008880789876285211
0.9400000000000001,5966,0.2508448610000187,0.0008814542457702967
0.9500000000000001,5987,0.25082994799998914,0.0008814540046968578
0.96,6019,0.2502591690000031,0.000881475491507494
0.97,6049,0.26979253899997957,0.0008814741882238464
0.98,6065,0.26633793900003866,0.0008814830241017368
0.99,6092,0.25611148199999434,0.0008814928957640022
1.0,6127,0.2558527460000164,0.0008814843352309698
